ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
382840,Tesco Portobello 280 g,tesco portobello 280 g,2.89,0,gram,280.0,5,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382841,Tesco Šampiňóny biele 500 g,tesco sampinony biele 500 g,1.99,0,gram,500.0,110,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382842,Tesco Šampiňóny krémové 250 g,tesco sampinony kremove 250 g,1.19,0,gram,250.0,16,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382843,Tesco Bio zemiaky sladké 750 g,tesco bio zemiaky sladke 750 g,3.12,0,gram,750.0,5,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382844,Tesco Kvasená biela kapusta 700 g,tesco kvasena biela kapusta 700 g,1.15,0,gram,700.0,189,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382845,Tesco Kvasené uhorky 800 g,tesco kvasene uhorky 800 g,1.59,0,gram,800.0,39,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382846,Zeler stopkový ks,zeler stopkovy ks,1.73,0,ks,-1,38,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382847,Tesco Paradajky cherry na stonke 500 g,tesco paradajky cherry na stonke 500 g,3.47,0,gram,500.0,56,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382848,Tesco paprika trikolóra 500 g,tesco paprika trikolora 500 g,2.54,0,gram,500.0,48,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382849,GH Cibuľa balená 1 kg,gh cibula balena 1 kg,1.69,0,gram,0.001,195,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382850,GH Paradajky CHERRY 250 g,gh paradajky cherry 250 g,1.73,0,gram,250.0,114,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382851,GH Paprika biela,gh paprika biela,2.54,0,unknown,-1,32,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382852,Tesco cibuľa šalotka 250g,tesco cibula salotka 250g,1.38,0,gram,250.0,28,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382853,Tesco Paradajky podlhovasté,tesco paradajky podlhovaste,2.31,0,unknown,-1,12,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382854,Paprika pálivá 300 g,paprika paliva 300 g,2.31,0,gram,300.0,27,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382855,Brokolica 500g,brokolica 500g,1.99,0,gram,500.0,129,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382856,Tesco petržlen kučeravý črepník,tesco petrzlen kuceravy crepnik,1.73,0,unknown,-1,10,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382857,Zemiaky Královské žlté konzumné 2.5 kg,zemiaky kralovske zlte konzumne 2.5 kg,3.79,0,gram,0.0025,113,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-22 20:02:51
382858,Tesco Zemiaky konzumné neskoré varný typ B 2 kg,tesco zemiaky konzumne neskore varny typ b 2 kg,2.69,0,gram,0.002,161,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382859,Šalát rímsky ks,salat rimsky ks,1.84,0,ks,-1,30,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382860,Tesco Family Mix čerstvá šalátová zmes 350 g,tesco family mix cerstva salatova zmes 350 g,1.61,0,gram,350.0,97,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382861,Tesco šalát ľadový. ks,tesco salat ladovy. ks,1.61,0,ks,-1,58,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382862,Rukola 125 g,rukola 125 g,1.5,0,gram,125.0,82,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382863,Valeriána poľná 125 g,valeriana polna 125 g,1.5,0,gram,125.0,51,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382864,Baby špenát 125 g,baby spenat 125 g,1.5,0,gram,125.0,90,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382865,Tesco šalát Little gem,tesco salat little gem,1.73,0,unknown,-1,18,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382866,Bazalka,bazalka,1.84,0,unknown,-1,6,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382867,Výhonky mix 40 g,vyhonky mix 40 g,1.84,0,gram,40.0,8,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382868,Tesco mäta prieporná,tesco mata prieporna,1.26,0,unknown,-1,8,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382869,Tesco kôpor 40 g,tesco kopor 40 g,1.45,0,gram,40.0,7,OVOCIE_ZELENINA,18,2,2024-04-21 20:00:03,2024-04-27 19:06:20
382870,Kváskový Delikates prémium bez E 405 g,kvaskovy delikates premium bez e 405 g,2.21,0,gram,405.0,50,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382871,Tesco Chlieb Bevit 450 g,tesco chlieb bevit 450 g,2.1,0,gram,450.0,9,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382872,Penam Fit deň Celozrnný ražný chlieb 250 g,penam fit den celozrnny razny chlieb 250 g,2.72,0,gram,250.0,10,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382873,Penam Fit deň Chlieb ražný slnečnicový 250 g,penam fit den chlieb razny slnecnicovy 250 g,2.72,0,gram,250.0,11,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382874,Penam Chlieb konzumný 250 g,penam chlieb konzumny 250 g,1.61,0,gram,250.0,30,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382875,Slatinská Pekáreň Slatinský chlieb zemiakový 480 g,slatinska pekaren slatinsky chlieb zemiakovy 480 g,1.5,0,gram,480.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382876,Penam Chlieb šumavský 500 g,penam chlieb sumavsky 500 g,2.83,0,gram,500.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382877,Racio Cornies kukuričné chlebíčky s medvedím cesnakom 115 g,racio cornies kukuricne chlebicky s medvedim cesnakom 115 g,1.17,0,gram,115.0,17,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382878,Ölz Super mäkký sendvič 375 g,olz super makky sendvic 375 g,2.94,0,gram,375.0,88,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382879,Ölz Celozrnný mäkký sendvič 375 g,olz celozrnny makky sendvic 375 g,2.94,0,gram,375.0,34,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382880,Slatinská Pekáreň Slatinský chlieb celozrnný krájaný 400 g,slatinska pekaren slatinsky chlieb celozrnny krajany 400 g,1.76,0,gram,400.0,8,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382881,Il Buon Pane Grissitalia Viaczrnný chlieb z 8 obilnín zo slnečnicovým olejom 400 g,il buon pane grissitalia viaczrnny chlieb z 8 obilnin zo slnecnicovym olejom 400 g,2.43,0,gram,400.0,7,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382882,Il Buon Pane Grissitalia Pšeničný chlieb svetlý krájaný 400 g,il buon pane grissitalia psenicny chlieb svetly krajany 400 g,2.1,0,gram,400.0,23,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382883,Il Buon Pane Grissitalia Celozrnný pšeničný chlieb 400 g,il buon pane grissitalia celozrnny psenicny chlieb 400 g,2.43,0,gram,400.0,20,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382884,Tesco Chlieb rascový 450 g,tesco chlieb rascovy 450 g,1.88,0,gram,450.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382885,Tesco Chlieb fitness 500 g,tesco chlieb fitness 500 g,2.43,0,gram,500.0,17,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382886,Tesco Celozrnný chlieb 350 g,tesco celozrnny chlieb 350 g,0.98,0,gram,350.0,67,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382887,Tesco Chlieb celozrnný slnečnicový 500 g,tesco chlieb celozrnny slnecnicovy 500 g,2.43,0,gram,500.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382888,Tesco Toastový chlieb maslový 500 g,tesco toastovy chlieb maslovy 500 g,1.49,0,gram,500.0,147,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382889,Tesco Toastový chlieb svetlý 500 g,tesco toastovy chlieb svetly 500 g,1.49,0,gram,500.0,176,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382890,Tesco Veka krájaná 400 g,tesco veka krajana 400 g,1.39,0,gram,400.0,24,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382891,Baker Street Kváskový toastový chlieb s maslom 500 g,baker street kvaskovy toastovy chlieb s maslom 500 g,4.61,0,gram,500.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382892,Oskar pšeničný kváskovy chlieb 505 g,oskar psenicny kvaskovy chlieb 505 g,2.61,0,gram,505.0,24,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382893,TS Toastový chlieb celozrnný 500 g,ts toastovy chlieb celozrnny 500 g,1.49,0,gram,500.0,96,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382894,Bona Vita Active Trvanlivý chlieb slnečnicový 500 g,bona vita active trvanlivy chlieb slnecnicovy 500 g,4.1,0,gram,500.0,17,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382895,Jonatan Boží dar 100% celozrnný chlieb s jablkovou vlákninou 450 g,jonatan bozi dar 100% celozrnny chlieb s jablkovou vlakninou 450 g,3.61,0,gram,450.0,15,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382896,TP Bageta Celozrnný ražný chlieb s mrkvou a slnečnicou 500 g,tp bageta celozrnny razny chlieb s mrkvou a slnecnicou 500 g,2.99,0,gram,500.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382897,Penam Fit deň Večerný chlebík 250 g,penam fit den vecerny chlebik 250 g,3.72,0,gram,250.0,13,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382898,Kváskový delik. prémium bez E 405 g,kvaskovy delik. premium bez e 405 g,2.1,0,gram,405.0,86,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382899,Rožok biely štandard 50g,rozok biely standard 50g,0.14,0,gram,50.0,0,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382900,Kajzerka Natural 60 g,kajzerka natural 60 g,0.17,0,gram,60.0,3930,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382901,Kajzerka cereálna 60 g,kajzerka cerealna 60 g,0.18,0,gram,60.0,2810,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382902,Kajzerka s ľanom a sezamom 95 g,kajzerka s lanom a sezamom 95 g,0.29,0,gram,95.0,262,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382903,Bageta špaldová 110 g,bageta spaldova 110 g,1.04,0,gram,110.0,186,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382904,Kváskový tmavý koreň 300 g,kvaskovy tmavy koren 300 g,1.99,0,gram,300.0,64,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382905,Croissant s párkom 75 g,croissant s parkom 75 g,1.32,0,gram,75.0,107,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382906,Tesco Maxi žemle na hamburger so sezamovými semenami 4 x 82 g (328 g),tesco maxi zemle na hamburger so sezamovymi semenami 4 x 82 g (328 g),1.83,0,gram,328.0,35,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
