product_ID,market_ID,hash
4784,1,fe75a143eae50070364931d2a7788a61c0b9a79f4a00d5639bfb5a679e5140e8
4783,1,71c4a1547371907df04ba80a7087c8a7c2a483d61a04a5ab64a0439120beba47
4782,1,8765e6d4cbd46c451f74a2a4c6327c20cb1973942197f89895762c708c083040
4781,1,c10d29f1164c38163d1021edcba485ab411131f04e60e0411899b3d54d7b11cb
4780,1,55b227ae28dfb614bfd0df73022a4312b7635932579f0aa02b2fb6019b437abc
4779,1,ad4d5066b8f984f295a43ccc84ba595cfed2f69eb257acd826be09a956148cfb
4778,1,62d4763dfb43ae207bf5bd212c9d3f569990ca0d3b2692b30e2034e17b9db455
4777,1,0a28e683fe2372e29eda05f28cfac56f71c1574d2aab45723e12ca8b198eeb85
4776,1,a67025870c19b20c7979d2465a0fcb78f29729ef29bb4dbaf2591d79233d94e8
4775,1,319469a48754ee264784dfa6eaf68b59f917dc893f326dd1c3771a5cd5bbf710
4774,1,8a0a9b837f849757a44df6e26f7e1eaa88ea45698c35210ff77471d53679b4f4
4773,1,21aa435b64e6779470dc7a87947207ecd5ca50b26f87a3c7439bc1dbcd60f12a
4772,1,d37ddc6b4a77e3c09ea857460f45f4ff643ae3f0f1e62fea3f57ddb1d3531acc
4771,1,5493a03bd0b3eabc7821df32d33c06651a152c500b1c059802eec18d72f9e0bc
4770,1,9e3aa1c3035e08115ade362edb30650222f11f603c83f6bdb22a64aececa3f7c
4769,1,6c5c201400915cde3cd801b290b756b83e11c9146016c9a3122262cea10609f2
4768,1,2709a0ca8610b52fb368101011226be0f3f113f5f4a52f63b6f6eb06b8581361
4767,1,13bdf0a135b1aed8c6f5451b8d0dd3c199b4a0e81cae513839c7e51195846330
4766,1,80a9f7b151d73e004cc252f4aba4253802db9c28a4b94d58fe36655f3d5f7a66
4765,1,05ae60c4ea3e1d3e54fbb4d4323b147129ca73a5a38ead2dc30376994959010e
4764,1,3cabdb532210981b7312aa59b789017f82f342438d95b6dc5a292ff772e6e67e
4763,1,15aaa293aa72938dd4979df6b830f4f955264ddb83611dd3198e4dcbdba15047
4762,1,5d2d28facd9e50f8244fd82fbb665df4cfe88084f71653e60a45968c101ae1ec
4761,1,1d8e0406765f9a276582081cf22a19119573ee811fb43cec0cd93b3b24c9307a
4760,1,5b48ee29fa5d4ffb24631b2b20bef6673acaa1857c57ea1c0f8d9311708a4d6d
