ID,name,store_name,product_file,category_file
1,BILLA,billa-segnerova,../resources/data/products.csv,../resources/data/category_mappings.csv
2,TESCO,tesco-kamenne-namestie,../resources/data/products.csv,../resources/data/category_mappings.csv
3,COOP_JEDNOTA,coop-jednota-tempo-bajkalska,../resources/data/products.csv,../resources/data/category_mappings.csv
