Slivky sušené vykôstkované 300g,3.09 €,1
BILLA sušené slivky odkôskované 500g,5.99 €,1
Datle vykôstkované sušené 200g,2.89 €,1
Brusnice mix 150g,1.79 €,1
Naše Gaštany pečené lúpané 100 g,1.99 €,1
Kokos chips natural 200g,1.39 €,1
Džús KLEMENTÍNKA 250 ml,1.79 €,1
Smoothie MANGO.MARAKUJA 250 ml,2.39 €,1
Smoothie LESNÉ PLODY 250 ml,2.39 €,1
Smoothie ANANÁS.KOKOS.BANÁN 250 ml,2.39 €,1
Smoothie ANANÁS.BANÁN.JAHODA 250 ml,2.39 €,1
Limeñita Smoothie ovocná šťava z viacerých druhov ovocia 250 ml,1.19 €,1
Rauch Juice Bar 100% jablkovo-hroznovo-malinová šťava 800 ml,2.69 €,1
Rio Cold Press 100% Costa Rica pomaranč s dužinou 1 l,3.29 €,1
Rio Cold Press 100% jablko 1 l,2.39 €,1
Rio Cold Press 100% malina hrozno jablko 1 l,3.29 €,1
Rio Cold Press Lemonade Lemon 400 ml,1.29 €,1
Rio Cold Press Greponade Grapefruit 400 ml,1.29 €,1
Limeňita Pomarančová Šťava 1L,2.99 €,1
Limeňita BIO Pomarančová šťava 100% 1L,4.59 €,1
-1,BILLA BIO banány (cca 1kg),~1.99 €,1,1
0,Čučoriedky 125g,1.89 €2.69,0,1
1,Maliny 125g,2.49 €2.99,0,1
2,Jablká balené 1kg,1.69 €,0,1
3,Clever Jablká červené gala 2kg,1.99 €,0,1
4,Clever Jablká zelené golden delicious 2kg,1.99 €,0,1
5,Jablká golden delicious ukladané voľné kus,~0.34 €,1,1
6,Clever hrušky 1kg,1.99 €,0,1
7,Clever citróny 500g,1.39 €,0,1
8,Limeta kus,0.33 €0.49,0,1
9,Jablká červené voľné kus,~0.15 €,1,1
10,Jablká Pink Lady Tácka 4Ks Balené,2.49 €,0,1
11,Stolové hrozno biele 500g,2.29 €3.19,0,1
12,Stolové hrozno 500g červené,3.49 €,0,1
13,Hrušky Xénia Ukladané,~1.02 €,1,1
14,Hruška Nashi Kus,1.39 €,0,1
15,Mango kus,1.99 €2.69,0,1
16,Hrušky zelené voľné kus,~0.44 €,1,1
17,Pomaranče 1KG Balené / Bon Via,2.19 €,0,1
18,Pomaranče voľné,~0.43 €0.82,1,1
19,Pomelo Kus,2.99 €,0,1
20,Mandarínky voľné,~0.24 €0.35,1,1
21,Melón Cantaloupe kus,3.69 €,0,1
22,Zrelé Mango Balené 2Ks,2.99 €,0,1
23,Granátové jablko kus,1.59 €,0,1
24,Ananás Kus,3.49 €,0,1
25,Kiwi kus,0.39 €0.69,0,1
26,Uhorka šalátová kus,0.69 €1.19,0,1
27,Uhorky poľné voľné,~0.66 €,1,1
28,Zemiaky neskoré prané 1.5kg,1.89 €2.39,0,1
29,Clever Zemiaky neskoré typ B 5kg,4.99 €,0,1
30,Zemiaky neskoré prané červené typ B 2kg,2.69 €,0,1
31,ZEMIAKY NESKORÉ PRANÉ B 2KG ZEL.SPOL. SF,2.69 €,0,1
32,Sladké zemiaky voľné kus,~1.01 €1.35,1,1
33,Clever Cibuľa 1kg,1.69 €,0,1
34,Cibuľa červená 500g,1.29 €,0,1
35,Cibuľa šalotka 250g,1.29 €,0,1
36,BILLA BIO Cesnak 150g,1.89 €,0,1
37,Rajčiaky cherry sunstream 250g,3.69 €,0,1
