775,Rio Cold Press 100% malina hrozno jablko 1 l,3.29,0,1
776,Rio Cold Press Lemonade Lemon 400 ml,1.29,0,1
777,Rio Cold Press Greponade Grapefruit 400 ml,1.29,0,1
778,Limeňita Pomarančová Šťava 1L,2.99,0,1
779,Limeňita BIO Pomarančová šťava 100% 1L,4.59,0,1
569,Kváskový slovenský chlieb 405g,1.79,0,1
571,Gazdovský kváskový chlieb 405g,1.49,0,1
573,Chlieb Lomidrevo 405g,1.75,0,1
575,Rustikálny semolinový chlieb 405g,1.69,0,1
577,Bochník s kváskom a cmarom 500g,1.59,0,1
579,Oskar kváskový slnečnicový chlieb 505g,2.69,0,1
581,KVASKO RASCOVÝ CHLIEB 505G,1.99,0,1
583,Tekvicový chlieb z materského kvásku 400g,2.19,0,1
585,Chlieb tmavý voľný 1000g,1.89,0,1
587,Chlieb multicereálny 500g,2.29,0,1
589,Kváskový chlieb svetlý 400g,2.09,0,1
591,Kváskový chlieb ražný balený 400g,1.75,0,1
592,Slatinská Pekáreň Slatinský chlieb zemiakový 480 g,1.35,0,1
594,Slatinská Pekáreň Slatinský chlieb cereálny 390 g,2.09,0,1
597,Slatinská Pekáreň Slatinský chlieb poloražný 700 g,2.19,0,1
599,Penam Slovanský zemiakový chlieb 400 g,1.85,0,1
600,Penam Slovanský krajec tmavý 400 g,2.19,0,1
602,Slatinská Pekáreň Slatinský chlieb celozrnný krájaný 400 g,1.59,0,1
603,Chlieb dlháň 300g,1.69,0,1
604,BILLA Chlieb toastový chlieb tmavý 500g,2.35,0,1
605,BILLA Chlieb toastový maslový 500g,2.29,0,1
606,Ölz Sendvič americký krájaný 750g,3.45,0,1
607,Ölz Super soft sandwich 375g,2.39,0,1
608,Ölz Viaczrnný toastový chlieb 250 g,1.59,0,1
609,Penam Protein Energy proteínový toust 240 g,2.55,0,1
610,Roberto Toast krájaný natur 400g,2.49,0,1
611,Veka 400g,1.79,0,1
612,Mestemacher Chlieb slnečnicový balený 500g,2.45,0,1
613,Vitacelia Celio chlebík bezgluténový 250 g,4.03,0,1
614,Chlieb bezgluténový z múky quinoa 350g (gluten free),3.59,0,1
615,Schär Maestro Cereale chlieb bezgluténový viaczrnný krájaný 300 g,3.99,0,1
616,Schär Maestro Vital chlieb bezgluténový kysnutý viaczrnný krájaný 350 g,4.15,0,1
641,Rožok 50g,0.13,0,1
642,Rožok grahamový 60g,0.20,0,1
643,Kaiserka natural 55g,0.15,0,1
644,Bageta malá svetlá 50g,0.21,0,1
645,Francúzska bageta stredná 110g,0.43,0,1
646,Kornbageta stredná 115g,0.45,0,1
647,Tekvicová bulka 65g,0.49,0,1
648,Gazdovská žemľa so šunkou 75g,0.79,0,1
649,Pizza šunková 181g,1.25,0,1
650,Hot dog 96g,0.49,0,1
651,Syrový pagáč 72g,0.79,0,1
652,Pagáč oškvarkový 85g,0.79,0,1
653,Pagáč so zníženým obsahom sacharidov 70g,0.55,0,1
654,Cesnaková Bageta 165g,0.69,0,1
655,ŠPALDOVÁ BAGETA 123G,0.99,0,1
656,Tyčinka so zelenými olivami 70g,0.99,0,1
657,Bageta sedliacka stredná tmava 115g,0.79,0,1
658,Viaczrnná Maxi tyčinka 82g,0.59,0,1
659,Podplamenník slanina-smotana 75g,0.99,0,1
660,Hamburger sezam žemle 6ks 300g,2.79,0,1
661,Rohliky hot dog 4ks 250g,2.25,0,1
662,BILLA Kaiserky 6ks,1.59,0,1
663,Slané tyčinky so syrom a rascou 250g,2.75,0,1
664,Tyčinky špaldové s ľanom 60g,1.39,0,1
689,Schär Pain Campagnard chlieb bezgluténový krájaný 240 g,3.99,0,1
690,Schär Focaccia pečivo bežné bezgluténové 200 g,4.29,0,1
691,Schär Ciabatta pečivo bežné bezgluténové 200 g,3.89,0,1
