name,price,approximation,market_ID
Mandarínky voľné kus,0.21 €,1,1
Kiwi kus,0.69 €,0,1
Stolové hrozno biele 500g,2.49 €,0,1
Stolové hrozno 500g červené,3.49 €,0,1
Mango kus,2.69 €,0,1
Granátové jablko kus,1.99 €,0,1
Hrušky zelené voľné kus,0.44 €,1,1
Clever pomaranče navelina 2kg,3.49 €,0,1
Morčacie prsia bez kosti a kože chladené (cca 750g),6.74 €,1,1
Bravčová krkovička bez kosti chladená (cca 1100g),8.57 €,1,1
Losos filet s kožou (cca 300g),6.57 €,1,1
Údený losos divoký plátky Vici 100g,3.59 €,0,1
Vici Losos porcie bez kože 250g,5.79 €,0,1
Mylord Divoký losos gorbuša filety 500 g,6.99 €,0,1
Kimbex Žralok steak 350g,2.99 €,0,1
Kimbex Makrela pitvana 800g,4.99 €,0,1
BILLA Lovecká saláma 75g,1.49 €,0,1
BILLA Pikador saláma 75g,1.49 €,0,1
BILLA Salame Campagnolo saláma 100g,3.19 €,0,1
BILLA Salame Milano 120g,3.29 €,0,1
Billa Malokarpatská saláma 75g Krahulík,1.49 €,0,1
Billa Nitran saláma 75g Krahulík,1.49 €,0,1
Nitran Saláma bez chémie 100g,1.69 €,0,1
Nitran Saláma 75g,2.29 €,0,1
Malokarpatská saláma 75g,2.29 €,0,1
Tauris Toreador saláma 75 g,2.19 €,0,1
Pick Zimná saláma krájaná 70 g,3.29 €,0,1
Kmotr Paprikáš saláma 75g,1.99 €,0,1
Kostelecké Uzeniny Kostelecký uherák 0100 kg,2.49 €,0,1
Kmotr Malokarpatská saláma 490g,6.49 €,0,1
Pick Zimná saláma 400 g,8.99 €,0,1
BILLA Lovecká saláma 500g,4.99 €,0,1
BILLA Premium maďarská saláma 380g,8.29 €,0,1
Kostelecké Uzeniny Premium Kostelecký uherák 380 g,6.45 €,0,1
Kostelecké Uzeniny Premium Křemešník 380 g,6.45 €,0,1
Kmotrová vysočina 300g,3.55 €,0,1
BILLA Fuet extra 170g,3.49 €,0,1
Leerdaamer Original 160 g,2.59 €,0,1
Leerdammer plátky 100g,1.39 €,0,1
Leerdammer Lightlife 5 plátkov 100 g,1.39 €,0,1
BILLA Ementáler strúhaný 150g,1.99 €,0,1
Liptov Eidam - porciované plátky neúdené 100 g,1.49 €,0,1
Liptov Eidam - porciované plátky údené 100 g,1.49 €,0,1
Kerrygold White cheddar 150g,3.19 €,0,1
Karička Eidam 45 % plátky klasik 100 g,1.89 €,0,1
Veselá Kráva Črievko 120 g,1.59 €,0,1
Billa Premium Syr S Prích.Hľuzoviek 150G,3.29 €,0,1
Clever Eidam 45% 250g,2.49 €,0,1
Clever Eidam 30% 250g,1.99 €,0,1
Clever Gouda 45% syr plátky 250g,2.39 €,0,1
Clever Gouda syr strúhaný 200g,2.59 €,0,1
Clever Eidam 30% syr plátky 150g,1.79 €,0,1
Clever Eidam 45% syr plátky 150g,1.45 €,0,1
BILLA Mozzarella 125g,1.39 €,0,1
MOZZARELLA GALBANI 125G LACTALIS,0.99 €,0,1
Galbani Mozzarella light 125g,0.99 €,0,1
Zott Zottarella Mozzarella Classic 125 g,1.69 €,0,1
Zott Zottarella Mozzarella Basilikum 125 g,1.69 €,0,1
Mozzarella v náleve 120g,1.59 €,0,1
Clever Mozzarella syr 125g,0.99 €,0,1
BILLA Mozzarella mini 125g,1.99 €,0,1
Rožok 50g,0.14 €,0,1
Rožok grahamový 60g,0.20 €,0,1
Kaiserka natural 55g,0.15 €,0,1
Bageta malá svetlá 50g,0.21 €,0,1
Francúzska bageta stredná 110g,0.29 €,0,1
Kornbageta stredná 115g,0.45 €,0,1
Tekvicová bulka 65g,0.54 €,0,1
Gazdovská žemľa so šunkou 75g,0.99 €,0,1
Pizza šunková 181g,1.25 €,0,1
Hot dog 96g,0.65 €,0,1
Syrový pagáč 72g,0.79 €,0,1
Pagáč oškvarkový 85g,0.79 €,0,1
Pagáč so zníženým obsahom sacharidov 70g,0.55 €,0,1
Cesnaková Bageta 165G,0.69 €,0,1
ŠPALDOVÁ BAGETA 123G,0.59 €,0,1
Tyčinka so zelenými olivami 70g,0.99 €,0,1
Bageta sedliacka stredná tmava 115g,0.79 €,0,1
Viaczrnná Maxi tyčinka 82g,0.79 €,0,1
Svetlá bulka so zemiakmi 80g,0.49 €,0,1
Croissant šunka-syr 88g,0.79 €,0,1
Podplamenník slanina-smotana 75g,0.99 €,0,1
Rohliky hot dog 4ks 250g,2.25 €,0,1
Slané tyčinky so syrom a rascou 250g,2.75 €,0,1
Tyčinky špaldové s ľanom 60g,1.39 €,0,1
Uhorka poľná kus,0.90 €,1,1
BILLA BIO Uhorka kus,1.39 €,0,1
Clever Zemiaky neskoré typ B 5kg,4.79 €,0,1
Zemiaky žlté neskoré prané typ A 25kg,3.99 €,0,1
Clever Cibuľa 1kg,1.69 €,0,1
Cibuľa červená 500g,1.29 €,0,1
Cibuľa šalotka 250g,1.29 €,0,1
Cesnak balený 3ks,1.59 €,0,1
Clever Paprika zeleninová 500g,2.59 €,0,1
Paprika červená voľná kus,0.84 €,1,1
Petržlen praný balený 350g,2.49 €,0,1
Rajčiaky Plum 500g,2.99 €,0,1
Zeler praný voľný,1.27 €,1,1
Sedáno zeler stopkatý kus,1.69 €,0,1
Baklažán voľný kus,1.22 €,1,1
Pór voľný kus,1.02 €,1,1
Polievková zmes 500g,1.69 €,0,1
Kel voľný,1.86 €,1,1
Kapusta biela voľná kus,2.02 €,1,1
Kapusta pekinská voľná,2.08 €,1,1
Kapusta Kvasená 1kg,1.59 €,0,1
Andaco Kvasená kapusta 1200 g,2.49 €,0,1
Čalamáda 850g,1.89 €,0,1
Šalát ľadový kus,0.99 €,0,1
Milsy Bánovecký pološtiepok neúdený 190 g,3.09 €,0,1
Milsy Bánovecký pološtiepok údený 190 g,3.09 €,0,1
Babybel Original 5 x 20 g,2.69 €,0,1
Lunter Tofu údené 180 g,0.89 €,0,1
Lunter Tofu naturálne 180 g,0.89 €,0,1
Lunter Tofu marinované 180 g,0.89 €,0,1
Violife Blok grécky biely 230 g,4.09 €,0,1
Nurishh Mozzarella vegánska potravinová špecialita 120 g,2.49 €,0,1
Nurishh Cheddar vegánska potravinová špecialita plátkovaná 120 g,2.49 €,0,1
Rajo Vegan Krém 250 g,2.19 €,0,1
Rajo Vegan Greek Natur s rastlinným tukom 160g,1.59 €,0,1
Rajo Vegan Greek chilli s rastlinným tukom 160 g,1.59 €,0,1
Clever Toastový syr plátky 200g,1.89 €,0,1
